,D10,D11,D20,I10,I20I11_I10,I20_I10,fitting_error,seconds,tif_num,M3_c,M6_c,A51_c,A59_c,M3_i,M6_i,A59_i,A51_i,Sum,peaks,ISI
0,46.547803307550595,26.874386769800097,23.273901653775297,76888.17148490416,1.0003399968278985,0.784491059145902,0.004760113248393427,0.08,16.0,14.102962860160595,7.327057185652206,5.1430309101107206,5.854767800376383,670.867487104,366.049024665,65.27963667896795,55.286705423972556,-0.013592798262834549,1.0,1.0
1,46.9182368180177,27.08825665678513,23.45911840900885,90930.60452044912,1.1704326078612939,0.9735847604682952,0.003626673974136408,0.085,17.0,14.487085370442003,7.305837694573688,5.106783977606571,5.897092577138387,1007.5756264,697.904964157,1650.7022537618507,702.8222497409662,0.005226612091064453,0.0,1.0
2,47.204150407100634,27.253328944407137,23.602075203550317,98350.46832820075,1.134424171982527,0.9537733526248444,0.0053387742789616785,0.09,18.0,14.456910452739802,7.307655809330146,5.111355620789399,5.927001837793945,1608.01993457,817.996270563,2187.5831112746164,647.4090572059814,-0.006881954614073038,0.0,1.0
3,47.740166953407545,27.56279824170753,23.870083476703773,87587.57072748826,1.2683443538902195,1.0520236002958898,0.009692154024796508,0.095,19.0,14.434447013255776,7.321839675477341,5.132633768257849,5.8975340561062195,1537.03258546,1009.35708575,2274.0409704873896,863.5237065851406,0.012255189940333366,0.0,1.0
4,47.98497297700425,27.70413706533032,23.992486488502124,80087.94262907773,1.1263465622908733,0.931179198208016,0.005693866916212764,0.1,20.0,14.505406141450333,7.310048130304843,5.076681859951147,5.897706180642351,882.392531744,719.427926575,2366.1170741150245,784.1915866689274,0.0018452006625011565,0.0,1.0
5,48.04009473291044,27.735961625940973,24.02004736645522,78699.20899469458,1.0607483750345859,0.8651189565183321,0.006798814335506331,0.105,21.0,14.357422062922982,7.30781879742285,4.98246745025723,5.865860422651264,835.548942512,373.441218696,2047.956204354613,683.5416004157172,-0.014320501126348972,0.0,1.0
6,47.27527779315455,27.294394359892124,23.637638896577275,74156.92893713414,0.9496532112836663,0.7593548785024379,0.005177466038762235,0.11,22.0,14.20758557145778,7.299991704327447,5.1942280010328385,5.886092477733341,286.564259231,706.207821085,247.92639199751747,372.6970482866642,0.02823933027684689,0.0,1.0
7,46.72573680723365,26.977116723739957,23.362868403616826,56911.4422426625,1.0167424340398714,0.8058864979423918,0.0042188715653999065,0.115,23.0,14.494988038471686,7.281317710538982,5.090335239062764,5.925234178635298,337.433859747,347.650597987,137.70760432067527,303.59007440793823,0.008480228483676909,0.0,1.0
8,46.69000139592837,26.95648487440325,23.345000697964185,37419.949457493036,0.9119039385217459,0.7453440865568658,0.009298550359762127,0.12,24.0,,,5.093578757650231,5.8935053668876956,,,105.75068659312115,100.36829468364401,-0.029951049014925964,0.0,1.0
9,46.79036967714619,27.014432528582457,23.395184838573094,16327.761602883314,1.4433700079982317,1.2444452180449912,0.01791722085841252,0.125,25.0,,7.186798822074267,5.175085631705837,5.955170324425898,,168.969619012,276.66177681949625,309.3449639619641,-0.032449323683977134,0.0,1.0
10,46.728029653356586,26.978440499066245,23.364014826678293,35086.206980998795,0.9081126598903656,0.7330020055298336,0.009175812586729505,0.13,26.0,13.820609889679185,,5.14196516851953,5.860376153958263,796.875163409,,170.01711346068655,224.21366587899612,0.0014042056864127515,1.0,2.0
11,46.674289400525765,26.94741354962805,23.337144700262883,53372.88054668105,1.0598796668445158,0.8614083811320093,0.008422377808375292,0.135,27.0,14.365919639203618,7.287022851480084,5.0904223115559635,5.883719665459079,992.340648068,209.745797562,94.0466208300818,159.0175768143845,-0.021083688363432884,0.0,2.0
12,47.08243003116983,27.183053652597618,23.541215015584914,79354.89780191069,1.1928144703885217,0.9978925975167902,0.007893438336798786,0.14,28.0,14.317168580043875,7.3226172976997015,5.0641430960516765,5.859789309914526,1165.297691,586.733290177,1686.903515070508,175.56437413163417,-0.016779186204075813,0.0,2.0
13,47.280019426993945,27.297131943465697,23.640009713496973,96849.33349660882,1.1926793333434398,1.004646456894876,0.006643810483276669,0.145,29.0,14.492356624026039,7.314017736859707,5.084491705856387,5.930332625582059,1420.2336707,1094.22596782,2239.2645241314267,714.4953867259883,0.0101587800309062,0.0,2.0
14,47.68369388758047,27.530193501950293,23.841846943790234,94901.14506677832,1.204290113714485,0.992742674712914,0.007347066531619095,0.15,30.0,14.491101679183876,7.312931928655164,5.1270122561555596,5.921079724921682,1612.45157433,1013.09596781,2231.468747558993,939.2150936766527,0.007490871939808129,0.0,2.0
15,48.044930116831075,27.738753336149184,24.022465058415538,88182.737762621,1.1632430278053123,0.9544685268711754,0.007975953100176292,0.155,31.0,14.49295753062983,7.346471719931032,5.118996250802138,5.9125404449502295,1710.94845277,1001.76901095,2470.728876548705,681.3863423253432,0.009067457169294356,0.0,2.0
16,48.052092782088856,27.742888702863876,24.026046391044428,73931.90204061288,1.2642226804257266,1.0492675784004606,0.02833925930686143,0.16,32.0,14.530219495105625,7.30566555535775,5.033497755580554,5.8767829353273795,818.51455846,656.579149438,1627.1348276525616,666.3205252565073,0.025672592222690586,0.0,2.0
17,47.65870140035722,27.515764082724235,23.82935070017861,83626.58012394329,1.0114887481145567,0.8017939910807672,0.005483524270604612,0.165,33.0,14.361168191575599,7.302129819835627,5.078867088496732,5.842405242063711,779.708527456,466.004584171,2001.341091605452,152.60956995446696,-0.0003388735931366681,0.0,2.0
18,46.983169805312,27.12574573447878,23.491584902656,80582.95888024234,0.9247202193144458,0.7364659061705917,0.004796293815509167,0.17,34.0,14.045136254380424,7.249752115966646,5.046383629111351,5.929758298172889,688.543642217,516.340635572,137.20240372511958,354.2529079115317,-0.00704864738509059,0.0,2.0
