,D10,D11,D20,I10,I20I11_I10,I20_I10,fitting_error,seconds,tif_num,M3_c,M6_c,A51_c,A59_c,M3_i,M6_i,A59_i,A51_i,Sum,peaks,ISI
0,,,,,,,0.1277220729052302,0.075,15.0,,,,,,,,,0.04106950014829636,1.0,2.0
1,,,,,,,5.296554901916124,0.08,16.0,,,,,,,,,0.09561292827129364,0.0,2.0
2,,,,,,,0.2873560252850228,0.085,17.0,,,,,,,,,0.010285613127052784,0.0,2.0
3,,,,,,,23.6062468336545,0.09,18.0,,,,,,,,,0.0186533946543932,0.0,2.0
4,,,,,,,6.769837853853147,0.095,19.0,,,,,,,,,0.011017481796443462,0.0,2.0
5,,,,,,,74.3438610542415,0.1,20.0,,,,,,,,,0.008506137877702713,0.0,2.0
6,,,,,,,0.6743830503372453,0.105,21.0,,,,,,,,,-0.015183763578534125,0.0,2.0
7,,,,,,,0.13316994938929572,0.11,22.0,,,,,,,,,-0.013935564085841179,0.0,2.0
8,45.22301371823266,26.109519143787765,22.61150685911633,21227.44272063331,0.8501833268452493,0.6699943098561986,0.03772726203719557,0.115,23.0,14.372207681939647,7.222462449362714,5.091142695935987,5.923636460788429,600.31965173,596.74338576,312.7375509068722,70.73078430983007,-0.004612286575138569,0.0,2.0
9,45.27561959541311,26.139891161138856,22.637809797706556,18382.949011549375,0.7224220288454014,0.5976202534650165,0.025410861696883447,0.12,24.0,14.514950901770197,7.280068501299853,5.167587709858079,5.9357631256669565,199.268284485,445.937800469,168.96327955085312,147.15819749777108,-0.0032852510921657085,0.0,2.0
10,45.473873730188764,26.254353239219533,22.736936865094382,9102.543548919515,0.9503656451138589,0.787471024030925,0.044301959072751466,0.125,25.0,,,5.108521212920706,5.891591083882243,,,227.17489952643655,117.23325435310362,0.02292298898100853,0.0,2.0
11,,,,,,,0.17229143048560036,0.13,26.0,,,,,,,,,0.0210635643452406,0.0,2.0
12,45.136173971887594,26.059382192859083,22.568086985943797,7865.925081494137,1.1973146023300083,0.933309060676701,0.04863019594144702,0.135,27.0,,7.274304151803018,5.1681942254527105,5.870348635629359,,264.431939005,107.62906547460209,119.54478167147028,-0.011448941193521023,0.0,2.0
13,,,,,,,0.07855134509866701,0.14,28.0,,,,,,,,,-0.014941538684070109,1.0,3.0
14,,,,,,,0.167406313956331,0.145,29.0,,,,,,,,,-0.0069694523699581614,0.0,3.0
15,,,,,,,4.550033889085297,0.15,30.0,,,,,,,,,-0.02009064704179764,0.0,3.0
16,,,,,,,1.739533817402825,0.155,31.0,,,,,,,,,-0.050073236227035516,0.0,3.0
17,,,,,,,1.0827802757416796,0.16,32.0,,,,,,,,,-0.004201809875667095,0.0,3.0
18,,,,,,,0.3520636796170654,0.165,33.0,,,,,,,,,0.02725903131067753,0.0,3.0
19,,,,,,,0.06818675896609627,0.17,34.0,,,,,,,,,-0.04647260904312134,0.0,3.0
20,45.625936488950444,26.342146713924304,22.812968244475222,11991.079475224687,0.9654996215324069,0.793577476210601,0.0451657038588581,0.17500000000000002,35.0,14.325785320505892,7.255522617750683,5.066939100647888,5.988051065849008,408.613031508,238.934217682,360.5185018116657,126.59179481923502,0.013771929778158665,0.0,3.0
21,,,,,,,0.19748358875309235,0.18,36.0,,,,,,,,,-0.013656213879585266,0.0,3.0
22,,,,,,,12.422517025570125,0.185,37.0,,,,,,,,,0.07928507030010222,0.0,3.0
23,,,,,,,0.115012449238992,0.19,38.0,,,,,,,,,0.061192363500595086,0.0,3.0
24,,,,,,,0.13377656476374755,0.195,39.0,,,,,,,,,0.0006779020768590271,1.0,4.0
25,,,,,,,0.2714119358167415,0.2,40.0,,,,,,,,,0.046244699507951736,0.0,4.0
26,,,,,,,0.7147766154603699,0.20500000000000002,41.0,,,,,,,,,0.03515886515378952,0.0,4.0
27,,,,,,,1.6791196555369108,0.21,42.0,,,,,,,,,-0.016878681257367134,0.0,4.0
28,,,,,,,1.3755675272605803,0.215,43.0,,,,,,,,,0.0014573719818145035,0.0,4.0
29,,,,,,,0.8019048103229091,0.22,44.0,,,,,,,,,0.031868141144514084,0.0,4.0
30,,,,,,,0.17763017236923773,0.225,45.0,,,,,,,,,0.1023084968328476,0.0,4.0
31,45.38408363189833,26.202512901800993,22.692041815949164,14438.744525811215,0.9666338016333098,0.7079205113294899,0.04790214789428982,0.23,46.0,,7.229626626866219,5.111793545383931,5.923959174201455,,292.570024021,155.45756056578492,183.274073298213,0.012662651017308235,0.0,4.0
32,45.32164990033007,26.166466770073544,22.660824950165036,20799.028198261265,0.945778383408592,0.7072872125692501,0.03403201940352918,0.23500000000000001,47.0,14.485599615443686,7.214374065991383,5.014636059629693,5.8962793398817945,493.476190116,275.99869991,94.90309845130665,140.42035477102277,0.00969322957098484,0.0,4.0
33,45.32808664935245,26.170183028854318,22.664043324676225,16008.317156159319,0.8643674625635022,0.6842567739428926,0.03627909075728142,0.24,48.0,14.160032922913494,7.239248475470283,5.163021827175714,5.857751454813384,627.915297998,367.740866424,295.1065023960912,91.72637487776556,-0.007904369384050371,0.0,4.0
34,,,,,,,0.057639355889774764,0.245,49.0,,,,,,,,,0.02202805317938328,0.0,4.0
35,,,,,,,0.05269204489796064,0.25,50.0,,,,,,,,,0.0314384326338768,0.0,4.0
36,,,,,,,0.07556263071183811,0.255,51.0,,,,,,,,,-0.008984644897282124,1.0,5.0
37,,,,,,,0.6433674566274217,0.26,52.0,,,,,,,,,0.02384654618799686,0.0,5.0
38,,,,,,,3.9703731082352345,0.265,53.0,,,,,,,,,-0.00937875173985958,0.0,5.0
